symbol,module_key,provider,raw_rows_count,raw_columns,normalized_rows_count,missing_mapping_fields,suggested_mapping,diagnosis
600519,profitability,baostock,6,"[""eps_ttm"", ""gross_margin"", ""liqa_share"", ""mb_revenue"", ""net_margin"", ""net_profit"", ""pub_date"", ""roe_avg"", ""stat_date"", ""total_share"", ""ts_code""]",0,"[""roe"", ""net_margin"", ""gross_margin"", ""net_profit"", ""eps_ttm"", ""revenue"", ""total_share"", ""float_share""]","{""roe"": ""roe_avg/roeAvg"", ""net_margin"": ""net_margin/npMargin"", ""gross_margin"": ""gross_margin/gpMargin"", ""net_profit"": ""net_profit/netProfit"", ""eps_ttm"": ""eps_ttm/epsTTM"", ""revenue"": ""mb_revenue/MBRevenue"", ""total_share"": ""total_share/totalShare"", ""float_share"": ""liqa_share/liqaShare""}",MAPPING_ERROR
600519,growth,baostock,6,"[""yoy_equity"", ""yoy_asset"", ""yoy_ni"", ""yoy_eps"", ""yoy_pni""]",0,"[""equity_yoy"", ""asset_yoy"", ""net_profit_yoy"", ""eps_yoy"", ""parent_net_profit_yoy""]","{""equity_yoy"": ""yoy_equity/YOYEquity"", ""asset_yoy"": ""yoy_asset/YOYAsset"", ""net_profit_yoy"": ""yoy_ni/YOYNI"", ""eps_yoy"": ""yoy_eps/YOYEPSBasic"", ""parent_net_profit_yoy"": ""yoy_pni/YOYPNI""}",PROVIDER_TIMEOUT
600519,cashflow_quality,baostock,6,"[""ca_to_asset"", ""nca_to_asset"", ""tangible_to_asset"", ""cfo_to_or"", ""cfo_to_np"", ""cfo_to_gr""]",0,"[""ocf_to_revenue"", ""ocf_to_np"", ""ocf_to_growth""]","{""ocf_to_revenue"": ""cfo_to_or/CFOToOR"", ""ocf_to_np"": ""cfo_to_np/CFOToNP"", ""ocf_to_growth"": ""cfo_to_gr/CFOToGr""}",PROVIDER_TIMEOUT
600519,solvency,baostock,6,"[""current_ratio"", ""quick_ratio"", ""cash_ratio"", ""yoy_liability"", ""liability_to_asset"", ""asset_to_equity""]",0,"[""current_ratio"", ""quick_ratio"", ""cash_ratio"", ""debt_ratio"", ""equity_multiplier""]","{""current_ratio"": ""current_ratio/currentRatio"", ""quick_ratio"": ""quick_ratio/quickRatio"", ""cash_ratio"": ""cash_ratio/cashRatio"", ""debt_ratio"": ""liability_to_asset/liabilityToAsset"", ""equity_multiplier"": ""asset_to_equity/assetToEquity""}",PROVIDER_TIMEOUT
600519,operation_capability,baostock,6,"[""nr_turn_ratio"", ""nr_turn_days"", ""inv_turn_ratio"", ""inv_turn_days"", ""ca_turn_ratio"", ""asset_turn_ratio""]",0,"[""receivable_turnover"", ""inventory_turnover"", ""asset_turnover"", ""total_asset_turnover""]","{""receivable_turnover"": ""nr_turn_ratio/NRTurnRatio"", ""inventory_turnover"": ""inv_turn_ratio/INVTurnRatio"", ""asset_turnover"": ""asset_turn_ratio/AssetTurnRatio"", ""total_asset_turnover"": ""asset_turn_ratio/AssetTurnRatio""}",PROVIDER_TIMEOUT
600519,dupont,baostock,6,"[""dupont_roe"", ""dupont_npi"", ""dupont_nitogr"", ""dupont_tax"", ""dupont_int"", ""dupont_at"", ""dupont_am""]",0,"[""roe"", ""equity_multiplier"", ""asset_turnover"", ""net_margin""]","{""roe"": ""dupont_roe/dupontROE"", ""equity_multiplier"": ""dupont_am/dupontAssetStoEquity"", ""asset_turnover"": ""dupont_at/dupontAssetTurn"", ""net_margin"": ""dupont_npi/dupontPnitoni""}",PROVIDER_TIMEOUT
000725,profitability,baostock,6,"[""roe_avg"", ""net_margin"", ""gross_margin"", ""net_profit"", ""eps_ttm"", ""total_share"", ""liqa_share""]",0,"[""roe"", ""net_margin"", ""gross_margin"", ""net_profit"", ""eps_ttm"", ""revenue"", ""total_share"", ""float_share""]","{""roe"": ""roe_avg/roeAvg"", ""net_margin"": ""net_margin/npMargin"", ""gross_margin"": ""gross_margin/gpMargin"", ""net_profit"": ""net_profit/netProfit"", ""eps_ttm"": ""eps_ttm/epsTTM"", ""revenue"": ""mb_revenue/MBRevenue"", ""total_share"": ""total_share/totalShare"", ""float_share"": ""liqa_share/liqaShare""}",PROVIDER_TIMEOUT
000725,growth,baostock,1,"[""balance"", ""cash_flow"", ""dupont"", ""growth"", ""operation"", ""profit""]",1,[],"{""equity_yoy"": ""yoy_equity/YOYEquity"", ""asset_yoy"": ""yoy_asset/YOYAsset"", ""net_profit_yoy"": ""yoy_ni/YOYNI"", ""eps_yoy"": ""yoy_eps/YOYEPSBasic"", ""parent_net_profit_yoy"": ""yoy_pni/YOYPNI""}",OK
000725,cashflow_quality,baostock,6,"[""ca_to_asset"", ""nca_to_asset"", ""tangible_to_asset"", ""cfo_to_or"", ""cfo_to_np"", ""cfo_to_gr"", ""ebit_to_interest""]",0,"[""ocf_to_revenue"", ""ocf_to_np"", ""ocf_to_growth""]","{""ocf_to_revenue"": ""cfo_to_or/CFOToOR"", ""ocf_to_np"": ""cfo_to_np/CFOToNP"", ""ocf_to_growth"": ""cfo_to_gr/CFOToGr""}",PROVIDER_TIMEOUT
000725,solvency,baostock,6,"[""current_ratio"", ""quick_ratio"", ""cash_ratio"", ""yoy_liability"", ""liability_to_asset"", ""asset_to_equity""]",0,"[""current_ratio"", ""quick_ratio"", ""cash_ratio"", ""debt_ratio"", ""equity_multiplier""]","{""current_ratio"": ""current_ratio/currentRatio"", ""quick_ratio"": ""quick_ratio/quickRatio"", ""cash_ratio"": ""cash_ratio/cashRatio"", ""debt_ratio"": ""liability_to_asset/liabilityToAsset"", ""equity_multiplier"": ""asset_to_equity/assetToEquity""}",PROVIDER_TIMEOUT
000725,operation_capability,baostock,6,"[""nr_turn_ratio"", ""nr_turn_days"", ""inv_turn_ratio"", ""inv_turn_days"", ""ca_turn_ratio"", ""asset_turn_ratio""]",0,"[""receivable_turnover"", ""inventory_turnover"", ""asset_turnover"", ""total_asset_turnover""]","{""receivable_turnover"": ""nr_turn_ratio/NRTurnRatio"", ""inventory_turnover"": ""inv_turn_ratio/INVTurnRatio"", ""asset_turnover"": ""asset_turn_ratio/AssetTurnRatio"", ""total_asset_turnover"": ""asset_turn_ratio/AssetTurnRatio""}",PROVIDER_TIMEOUT
000725,dupont,baostock,6,"[""dupont_roe"", ""dupont_npi"", ""dupont_nitogr"", ""dupont_tax"", ""dupont_int"", ""dupont_at"", ""dupont_am""]",0,"[""roe"", ""equity_multiplier"", ""asset_turnover"", ""net_margin""]","{""roe"": ""dupont_roe/dupontROE"", ""equity_multiplier"": ""dupont_am/dupontAssetStoEquity"", ""asset_turnover"": ""dupont_at/dupontAssetTurn"", ""net_margin"": ""dupont_npi/dupontPnitoni""}",PROVIDER_TIMEOUT
601686,profitability,baostock,6,"[""eps_ttm"", ""gross_margin"", ""liqa_share"", ""mb_revenue"", ""net_margin"", ""net_profit"", ""pub_date"", ""roe_avg"", ""stat_date"", ""total_share"", ""ts_code""]",0,"[""roe"", ""net_margin"", ""gross_margin"", ""net_profit"", ""eps_ttm"", ""revenue"", ""total_share"", ""float_share""]","{""roe"": ""roe_avg/roeAvg"", ""net_margin"": ""net_margin/npMargin"", ""gross_margin"": ""gross_margin/gpMargin"", ""net_profit"": ""net_profit/netProfit"", ""eps_ttm"": ""eps_ttm/epsTTM"", ""revenue"": ""mb_revenue/MBRevenue"", ""total_share"": ""total_share/totalShare"", ""float_share"": ""liqa_share/liqaShare""}",MAPPING_ERROR
601686,growth,baostock,6,"[""pub_date"", ""stat_date"", ""ts_code"", ""yoy_asset"", ""yoy_eps"", ""yoy_equity"", ""yoy_ni"", ""yoy_pni""]",1,[],"{""equity_yoy"": ""yoy_equity/YOYEquity"", ""asset_yoy"": ""yoy_asset/YOYAsset"", ""net_profit_yoy"": ""yoy_ni/YOYNI"", ""eps_yoy"": ""yoy_eps/YOYEPSBasic"", ""parent_net_profit_yoy"": ""yoy_pni/YOYPNI""}",OK
601686,cashflow_quality,baostock,6,"[""ca_to_asset"", ""nca_to_asset"", ""tangible_to_asset"", ""cfo_to_or"", ""cfo_to_np"", ""cfo_to_gr"", ""ebit_to_interest""]",0,"[""ocf_to_revenue"", ""ocf_to_np"", ""ocf_to_growth""]","{""ocf_to_revenue"": ""cfo_to_or/CFOToOR"", ""ocf_to_np"": ""cfo_to_np/CFOToNP"", ""ocf_to_growth"": ""cfo_to_gr/CFOToGr""}",PROVIDER_TIMEOUT
601686,solvency,baostock,6,"[""current_ratio"", ""quick_ratio"", ""cash_ratio"", ""yoy_liability"", ""liability_to_asset"", ""asset_to_equity""]",0,"[""current_ratio"", ""quick_ratio"", ""cash_ratio"", ""debt_ratio"", ""equity_multiplier""]","{""current_ratio"": ""current_ratio/currentRatio"", ""quick_ratio"": ""quick_ratio/quickRatio"", ""cash_ratio"": ""cash_ratio/cashRatio"", ""debt_ratio"": ""liability_to_asset/liabilityToAsset"", ""equity_multiplier"": ""asset_to_equity/assetToEquity""}",PROVIDER_TIMEOUT
601686,operation_capability,baostock,6,"[""nr_turn_ratio"", ""nr_turn_days"", ""inv_turn_ratio"", ""inv_turn_days"", ""ca_turn_ratio"", ""asset_turn_ratio""]",0,"[""receivable_turnover"", ""inventory_turnover"", ""asset_turnover"", ""total_asset_turnover""]","{""receivable_turnover"": ""nr_turn_ratio/NRTurnRatio"", ""inventory_turnover"": ""inv_turn_ratio/INVTurnRatio"", ""asset_turnover"": ""asset_turn_ratio/AssetTurnRatio"", ""total_asset_turnover"": ""asset_turn_ratio/AssetTurnRatio""}",PROVIDER_TIMEOUT
601686,dupont,baostock,6,"[""dupont_roe"", ""dupont_npi"", ""dupont_nitogr"", ""dupont_tax"", ""dupont_int"", ""dupont_at"", ""dupont_am""]",0,"[""roe"", ""equity_multiplier"", ""asset_turnover"", ""net_margin""]","{""roe"": ""dupont_roe/dupontROE"", ""equity_multiplier"": ""dupont_am/dupontAssetStoEquity"", ""asset_turnover"": ""dupont_at/dupontAssetTurn"", ""net_margin"": ""dupont_npi/dupontPnitoni""}",PROVIDER_TIMEOUT
